san , warm
bear , francisco
arctic , francisco
bear , city
arctic , city
city , us
require , us
bear , us
panel , us
panel , require
bear , require
building , require
building , panel
new , panel
panel , solar
building , solar
building , new
bear , germany
cheer , germany
friday , germany
bear , light
ground , light
cheer , light
friday , light
light , traffic
protect , traffic
cheer , protect
friday , protect
distracted , protect
jeer , protect
phone , protect
coke , protect
cheer , distracted
coke , distracted
cheer , user
jeer , user
rum , user
friday , user
coke , user
cheer , phone
jeer , phone
friday , jeer
coke , jeer
coke , rum
friday , rum
defend , let
defender , let
defender , earth
credibility , partnership
day , partnership
let , partnership
journalistic , partnership
credibility , industry
credibility , undermine
day , undermine
let , undermine
journalistic , undermine
earth , undermine
defend , undermine
credibility , journalistic
people , white
change , need
earth , save
need , save
change , save
save , work
agreement , work
earth , work
paris , work
need , work
earth , paris
sign , u.s
nation , u.s
step , u.s
accord , u.s
late , u.s
agreement , u.s
climate , historic
agreement , view
sign , view
climate , view
signing , view
historic , view
nation , view
step , view
accord , view
late , view
paris , view
deal , view
sign , step
accord , step
late , step
journey , step
paris , step
climate , step
little , step
long , step
journey , long
late , paris
late , little
ceremony , signing
declare , signing
mean , signing
ceremony , paris
meet , paris
ceremony , climate
ceremony , deal
ban , ceremony
mean , meet
ceremony , meet
fraught , meet
declare , meet
celeb , meet
deal , matter
campaign , matter
ceremony , matter
climate , matter
deal , it
change , paris
campaign , environmental
ceremony , environmental
leader , punish
meet , punish
mean , punish
ceremony , punish
free , punish
leader , speech
pact , sign
fraught , sign
quote , sign
mean , sign
ceremony , sign
celeb , sign
it , sign
early , sign
environment , sign
fraught , pact
mean , pact
ceremony , pact
celeb , pact
agreement , fraught
ceremony , fraught
celeb , fraught
agreement , uncertainty
paris , uncertainty
climate , uncertainty
